A,B,C,D,E,F
37,109.42,8,158.35,-45.9627,-38.5672
17,69.22,1,32.53,-47.5083,-52.7632
14,63.26,13,248.17,57.916,11.2577
2,38.97,17,320.25,79.4236,27.3477
27,89,18,338.15,43.731,24.2405
17,69.09,15,284.48,55.3892,53.4887
21,77.51,12,230.27,48.8567,38.171
39,113.28,12,230.3,-24.2562,-84.591
17,69.27,23,428.45,48.0842,32.4332
39,113.01,5,104.09,-40.9849,-42.441
3,41.07,10,194.22,12.7896,5.69431
14,63.08,31,571.99,52.0939,27.6988
26,87.36,23,428.23,0.766045,0.642787
21,77.43,6,122.25,19.9264,23.7474
9,53.22,31,572.06,-49.0269,-41.1384
33,101.36,12,229.97,-7.12805,-3.63192
37,109.36,1,32.28,-21.0995,-49.7072
2,39.47,21,392,63.3341,14.6218
8,51.53,11,212.41,9.70821,7.05342
11,57.49,35,644.49,65.7785,23.9414
10,55.24,30,554.29,3.39219,2.11968
3,41.3,4,86.03,-22.0643,-17.2385
23,80.99,33,608.55,-57.358,-49.8605
37,109.08,13,247.97,-96.8366,-20.5832
0,35.36,38,698.24,8.24248,21.4723
7,49.55,34,626.32,-37.2959,-11.4025
27,89.51,1,32.04,90.2095,38.2916
2,38.99,11,212.26,70.3845,51.1373
35,105.19,25,464.16,-25.3395,-77.9866
17,69.21,23,428.37,51.6219,73.7236
7,49.18,33,608.29,-61.7641,-5.40365
12,59.33,1,32.23,28.2827,33.7059
30,95.33,29,536.49,60.1948,54.1995
30,95.18,18,338.29,21.8795,2.29962
19,73.31,27,500.34,-34.8196,-23.4861
0,35.28,34,626.52,40.724,58.1598
7,49.11,14,266.18,3.51659,8.28454
25,85.11,37,680.54,-7.9488,-12.7207
22,79.19,4,86.24,-76.6266,-39.0432
31,97.11,30,554.11,0.52992,0.848048
38,111.5,3,68.04,1.10255,3.84505
3,41.24,10,194.1,-7.4565,-10.649
1,37.11,31,572.26,22.9566,12.2063
12,59.15,35,644.44,-44.4306,-37.2817
10,55.42,24,446.54,-68.944,-57.8508
12,59.55,22,410.18,-26.7372,-3.75767
1,37.01,33,608.48,22.1638,28.3684
22,79.48,8,158.12,35.4605,27.7047
1,37.45,19,356.33,-46.3323,-23.6075
27,89.53,15,284.22,57.603,79.2836
5,45.55,5,104,-6.72883,-1.92946
24,83.53,23,428.32,14.1198,12.7135
28,91.24,1,32.24,-50.3141,-37.9143
7,49.05,10,194.07,15.0515,39.2104
15,65.25,4,86.14,-74.6134,-50.3273
23,81.14,5,104.11,47.2807,36.9397
6,47.28,31,572.17,-94.6607,-25.3642
37,109.51,6,122.08,-15.3017,-44.4394
37,109.28,31,572.03,-55.8396,-76.8566
39,113.01,7,140.41,-48.2215,-16.604
0,35.43,17,320.29,-24.5134,-20.5692
0,35.5,36,662.03,49.8037,18.1271
25,85.2,26,482.04,-58.3128,-45.5589
23,81.18,5,104.02,-39.0001,-67.5499
24,83.46,38,698.13,-11.4715,-16.383
33,101.11,38,698.45,58.6222,20.1852
37,109.02,29,536.31,-2.47214,-7.60845
8,51.09,22,410.36,-70.4266,-14.9696
32,99.49,29,536.41,57.0152,78.4746
