A,B,C,D
1,20,-3.8,342.98
2,37,-2.98,666.11
3,21,-1.99,362.06
4,23,-0.67,400.1
5,0,-0.02,-36.74
6,34,1.27,609.32
7,35,2.04,628
8,17,2.99,286.22
9,9,4.3,134.37
10,13,5.37,210.09
11,32,6.32,571.1
12,10,7.19,153
13,15,8.29,248.19
14,30,9.08,533.11
15,21,10.08,362.24
16,6,11.36,77.27
17,11,12.23,172.07
18,10,13.11,153.32
19,21,14.27,362.18
20,24,15.11,419.11
21,36,16.31,647.05
22,30,17.17,533.08
23,23,18.32,400.11
24,15,19.26,248.14
25,1,20.02,-17.77
26,2,21.28,1.17
27,1,22.14,-17.96
28,9,23.12,134.32
29,16,24.18,267.2
30,0,25.13,-36.98
31,32,26.04,571.07
32,5,27.19,58.29
33,4,28.28,39.17
34,19,29.15,324.16
35,9,30.34,134
36,15,31.05,248.33
37,17,32.22,286.22
38,12,33.21,191.22
39,25,34.17,438.08
40,4,35.28,39.16
41,35,36.28,628.29
42,39,37.22,704.02
43,31,38.13,552.19
44,37,39.32,666.03
45,1,40.2,-17.86
46,19,41.07,324.23
47,9,42.08,134.16
48,33,43,590
49,31,44.1,552.29
50,34,45,609.31
51,22,46.16,381.11
52,33,47.33,590.36
53,16,48.1,267.3
54,17,49.2,286.13
55,24,50.04,419.27
56,27,51.26,476.17
57,7,52.27,96.13
58,16,53.23,267.14
59,33,54.31,590.24
60,23,55.33,399.99
61,23,56.24,400.07
62,34,56.99,609.34
63,21,58.1,362.33
64,18,58.99,305.12
65,38,60.26,685.07
66,31,61.32,552.34
67,38,61.98,685.08
68,23,63.12,400.02
69,35,64.33,628.11
70,30,65.3,533.01
71,24,66.13,419.15
72,27,67.1,476.1
73,17,68.32,286.33
74,38,69.04,685.21
75,9,70.01,134.2
76,3,71.25,20.12
77,19,72.33,324.14
78,15,73.27,248.01
79,26,74.32,457.24
80,14,75.2,229.02
81,25,76.15,438.14
82,5,77.34,58.11
83,2,77.98,1.15
84,15,78.99,248.37
85,21,80.04,362.2
86,30,81.06,533.06
87,35,82.34,627.98
88,37,83.31,666.03
89,37,84.06,666.05
90,12,85.06,191.36
91,33,86.12,590.04
92,4,87,39.32
93,18,88.16,305.18
94,25,88.98,438.32
95,37,89.98,666.21
96,33,91.21,590.16
97,38,92.02,685.34
98,10,93.33,153.02
99,33,94.09,590.01
100,39,95.22,704.05
